151,0,1656518527,1,6,0,151,2,1,False,1,26,active,,,[],5492.05,Cleveland Pl & Spring St,classic,True,40.722103786686034,71,33,151,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db2fd0-0aca-11e7-82f6-3863bb44ef7c,-73.99724900722504,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
152,0,1656517997,1,3,1,152,0,1,False,1,45,active,,,[],5288.09,Warren St & W Broadway,classic,True,40.71473993,71,49,152,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3053-0aca-11e7-82f6-3863bb44ef7c,-74.00910627,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
153,0,1656518282,1,1,21,153,13,1,False,1,41,active,,,[],6474.11,E 40 St & 5 Ave,classic,True,40.752062307,71,63,153,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db30e0-0aca-11e7-82f6-3863bb44ef7c,-73.9816324043,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
157,0,1656518454,1,1,9,157,0,1,False,1,13,active,,,[],4531.05,Henry St & Atlantic Ave,classic,True,40.69089272,71,23,157,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db316a-0aca-11e7-82f6-3863bb44ef7c,-73.99612349,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
161,0,1656518170,1,0,0,161,0,1,False,1,35,active,,,[],5721.14,LaGuardia Pl & W 3 St,classic,True,40.72917025,71,35,161,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3273-0aca-11e7-82f6-3863bb44ef7c,-73.99810231,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
164,0,1656518293,1,4,15,164,2,1,False,1,58,active,,,[],6498.10,E 47 St & 2 Ave,classic,True,40.75323098,71,77,164,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db32fb-0aca-11e7-82f6-3863bb44ef7c,-73.97032517,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
168,0,1656518502,1,6,3,168,2,1,False,1,38,active,,,[],6064.08,W 18 St & 6 Ave,classic,True,40.73971301,71,47,168,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db33fc-0aca-11e7-82f6-3863bb44ef7c,-73.99456405,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
174,0,1656518255,1,2,11,174,0,1,False,1,22,active,,,[],6004.07,E 25 St & 1 Ave,classic,True,40.7381765,71,35,174,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db34fc-0aca-11e7-82f6-3863bb44ef7c,-73.97738662,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
212,0,1656518495,1,3,11,212,2,1,False,1,46,active,,,[],6233.05,W 16 St & The High Line,classic,True,40.74334935,71,60,212,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3606-0aca-11e7-82f6-3863bb44ef7c,-74.00681753,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
216,0,1656516915,1,2,12,216,0,1,False,1,23,active,,,[],4829.01,Columbia Heights & Cranberry St,classic,True,40.70037867,71,37,216,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3687-0aca-11e7-82f6-3863bb44ef7c,-73.99548059,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
