,station_id,counts,name,lat,lon,station_type,capacity
0,82,3,St James Pl & Pearl St,40.71117416,-74.00016545,classic,27
1,119,5,Park Ave & St Edwards St,40.69608941,-73.97803415,classic,53
2,127,3,Barrow St & Hudson St,40.73172428,-74.00674436,classic,31
3,143,2,Clinton St & Joralemon St,40.69239502,-73.99337909,classic,50
4,144,4,Nassau St & Navy St,40.69839895,-73.98068914,classic,58
5,146,3,Hudson St & Reade St,40.71625008,-74.0091059,classic,55
6,152,3,Warren St & W Broadway,40.71473993,-74.00910627,classic,49
7,157,4,Henry St & Atlantic Ave,40.69089272,-73.99612349,classic,23
8,161,2,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,classic,35
9,212,4,W 16 St & The High Line,40.74334935,-74.00681753,classic,60
10,217,20,Old Fulton St,40.70277159,-73.99383605,classic,39
11,229,6,Great Jones St,40.72743423,-73.99379025,classic,23
12,232,1,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,classic,52
13,238,1,Bank St & Washington St,40.7361967,-74.00859207,classic,31
14,239,4,Willoughby St & Fleet St,40.69196566,-73.9813018,classic,62
15,245,4,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,classic,56
16,247,7,Perry St & Bleecker St,40.73535398,-74.00483091,classic,59
17,249,1,Harrison St & Hudson St,40.71870987,-74.0090009,classic,27
18,250,2,Lafayette St & Jersey St,40.72456089,-73.99565293,classic,40
19,251,2,Mott St & Prince St,40.72317958,-73.99480012,classic,27
20,261,4,Johnson St & Gold St,40.69474881,-73.98362464,classic,41
21,262,1,Washington Park,40.6917823,-73.9737299,classic,24
22,265,7,Stanton St & Chrystie St,40.72229346,-73.99147535,classic,35
23,268,1,Howard St & Lafayette St,40.71910537,-73.99973337,classic,27
24,295,6,Pike St & E Broadway,40.71406667,-73.99293911,classic,24
25,298,3,3 Ave & Schermerhorn St,40.68683208,-73.9796772,classic,35
26,302,3,Avenue D & E 3 St,40.72082834,-73.97793172,classic,37
27,303,3,Mercer St & Spring St,40.72362738,-73.99949601,classic,67
28,304,1,Broadway & Battery Pl,40.70463334,-74.01361706,classic,48
29,305,1,E 58 St & 3 Ave,40.76095756,-73.96724467,classic,49
30,307,8,Canal St & Rutgers St,40.71427487,-73.98990025,classic,31
31,312,1,Allen St & Stanton St,40.722055,-73.989111,classic,33
32,313,2,Washington Ave & Park Ave,40.69610226,-73.96751037,classic,55
33,315,7,South St & Gouverneur Ln,40.70355377,-74.00670227,classic,29
34,316,4,Fulton St & William St,40.70960089363537,-74.00655090808868,classic,43
35,319,17,Fulton St & Broadway,40.711066,-74.009447,classic,33
36,320,1,Leonard St & Church St,40.717571,-74.005549,classic,54
37,321,5,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,classic,39
38,323,1,Lawrence St & Willoughby St,40.69236178,-73.98631746,classic,39
39,324,6,DeKalb Ave & Hudson Ave,40.689888,-73.981013,classic,74
40,325,2,E 19 St & 3 Ave,40.73624527,-73.98473765,classic,35
41,330,2,Reade St & Broadway,40.71450451,-74.00562789,classic,42
42,331,4,Pike St & Monroe St,40.71173107,-73.99193043,classic,27
43,340,1,Madison St & Clinton St,40.71269042,-73.98776323,classic,27
