,station_id,counts,name,lat,lon,station_type,capacity
81,3146,1,E 81 St & 3 Ave,40.77573034,-73.9567526,classic,47.0
82,3148,2,E 84 St & 1 Ave,40.77565541,-73.95068615,classic,31.0
83,3150,1,E 85 St & York Ave,40.77536905,-73.94803392,classic,47.0
84,3151,3,E 81 St & York Ave,40.7728384,-73.94989233,classic,47.0
85,3156,6,E 72 St & York Ave,40.76663814,-73.95348296,classic,37.0
86,3158,6,W 63 St & Broadway,40.77163851,-73.98261428,classic,31.0
87,3159,2,W 67 St & Broadway,40.77492513,-73.98266566,classic,31.0
88,3160,3,Central Park West & W 76 St,40.77896784,-73.97374737,classic,39.0
89,3161,1,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,classic,59.0
90,3167,2,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,classic,55.0
91,3169,2,Riverside Dr & W 82 St,40.78720869,-73.98128127,classic,75.0
92,3170,4,W 84 St & Columbus Ave,40.78499979,-73.97283406,classic,35.0
93,3172,2,W 74 St & Columbus Ave,40.7785669,-73.97754961,classic,27.0
94,3175,2,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,classic,43.0
95,3177,3,W 84 St & Broadway,40.7867947,-73.977112,classic,63.0
96,3178,5,Riverside Dr & W 78 St,40.78414472,-73.98362492,classic,79.0
97,3184,3,Paulus Hook,40.7141454,-74.0335519,classic,14.0
98,3192,2,Liberty Light Rail,40.7112423,-74.0557013,classic,22.0
99,3195,4,Sip Ave,40.73089709786179,-74.06391263008118,classic,34.0
100,3202,1,Newport PATH,40.7272235,-74.0337589,classic,18.0
101,3233,5,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,classic,22.0
102,3235,5,E 41 St & Madison Ave (SW corner),40.752165280621966,-73.97992193698882,classic,34.0
103,3238,3,E 80 St & 2 Ave,40.77391390238118,-73.9543953537941,classic,35.0
104,3241,2,Monroe St & Tompkins Ave,40.686203,-73.944694,classic,19.0
105,3268,1,Lafayette Park,40.71346382669195,-74.06285852193832,classic,14.0
106,3277,1,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,classic,14.0
107,3280,1,Astor Place,40.71928220070702,-74.07126188278198,classic,14.0
108,3283,3,W 89 St & Columbus Ave,40.7882213,-73.97041561,classic,47.0
109,3284,2,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,classic,38.0
110,3285,5,W 87 St & Amsterdam Ave,40.78839,-73.9747,classic,43.0
111,3287,3,W 87 St & West End Ave,40.789622,-73.97757,classic,47.0
112,3289,4,W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178,classic,32.0
113,3293,2,W 92 St & Broadway,40.7921,-73.9739,classic,0.0
114,3294,2,E 91 St & Park Ave,40.7835016,-73.955327,classic,35.0
115,3297,1,6 St & 7 Ave,40.6686627,-73.97988067,classic,21.0
116,3299,2,E 98 St & Park Ave,40.78813,-73.95206,classic,25.0
117,3300,3,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,classic,25.0
118,3301,1,Columbus Ave & W 95 St,40.7919557,-73.968087,classic,39.0
119,3302,5,Columbus Ave & W 103 St,40.7969347,-73.9643412291,classic,40.0
120,3306,1,10 St & 7 Ave,40.6662078,-73.98199886,classic,23.0
121,3307,5,West End Ave & W 94 St,40.7941654,-73.974124,classic,31.0
122,3310,1,14 St & 7 Ave,40.663779,-73.98396846,classic,24.0
